name,description,category,subcategory,subsubcategory,combatscore,runescore
"Security Isn't a Dirty Word","Use the crevice shortcut in Varrock Sewers, near the moss giants.","Area Tasks","Hard Varrock","N/A","N/A","15"
"Security through Obscurity","Use the deposit chest near the Bedabin Camp.","Area Tasks","Hard Desert","N/A","N/A","15"
"See Yew at Five","Cut five sets of yew logs. (X/5)","Area Tasks","Hard Seers' Village","N/A","N/A","15"
"Seeing Lava","Use your fire cape on TzTok-Jad before defeating them.","Combat","TzTok-Jad","N/A","N/A","25"
"Seems Legit","Obtain five artefacts from Pyramid Plunder.","Area Tasks","Easy Desert","N/A","N/A","5"
"Seers' Village","Activate the lodestone in Seers' Village.","Exploration","Members' Lodestones","N/A","N/A","5"
"Seers' Village Set Tasks - Easy","Given by any seer in Seers' Village for completing all Easy Tasks in Seers' Village.","Area Tasks","N/A","N/A","N/A","5"
"Seers' Village Set Tasks - Elite","Given by Sir Kay in Camelot Castle for completing all Elite Tasks in Seers' Village.","Area Tasks","N/A","N/A","N/A","25"
"Seers' Village Set Tasks - Hard","Given by Sir Kay in Camelot Castle for completing all Hard Tasks in Seers' Village.","Area Tasks","N/A","N/A","N/A","15"
"Seers' Village Set Tasks - Medium","Given by Stankers at the coal mine west of Seers' Village for completing all Medium Tasks in Seers' Village.","Area Tasks","N/A","N/A","N/A","10"
"Seiryu Competent Speed Killer","Defeat Seiryu the Azure Serpent solo in less than 05:00.","Combat","Temple of Aminishi","Seiryu","3","15"
"Seiryu Elite Speed Killer","Defeat Seiryu the Azure Serpent solo in less than 03:00.","Combat","Temple of Aminishi","Seiryu","4","25"
"Seiryu Grandmaster Speed Killer","Defeat Seiryu the Azure Serpent solo in less than 01:00.","Combat","Temple of Aminishi","Seiryu","6","50"
"Seiryu Master Speed Killer","Defeat Seiryu the Azure Serpent solo in less than 01:30.","Combat","Temple of Aminishi","Seiryu","5","40"
"Seiryu the Azure Serpent","Defeat Seiryu the Azure Serpent. (X/1)","Combat","Temple of Aminishi","Seiryu","N/A","0"
"Sentient Letters","Collect all of the letters from the Senntisten dig.","Lore","Books","N/A","N/A","10"
"Seren Memories","Deposit Seren memoriam crystals (from the Approach of Freneskae), then search the Sanctum alcove.","Lore","Post-Quest","N/A","N/A","20"
"Seren's Per-faction-ist","Reach maximum reputation with the Seren faction in the Heart of Gielinor. (X/5,000)","Combat","Heart of Gielinor","N/A","N/A","20"
"Set It On Fiyr","Burn a fiyr shade with pyre wood.","Area Tasks","Elite Morytania","N/A","N/A","25"
"Setting The Foundation","Complete the base camp tutorial on Anachronia.","Exploration","Anachronia","N/A","N/A","5"
"Setting Up","Make a full suit of tier 1 armour (helm, body, legs, boots, gloves).","Area Tasks","Easy Daemonheim","N/A","N/A","5"
"Seven Colours in Their Hat","Show the Wise Old Man your chromatic party hat.","Activities","Just for Fun","N/A","N/A","50"
"Shade-Shattering Ka-Bloom","Cast Bloom using a Flail of Ivandis, upgraded with at least 200 burnt vyre corpses.","Area Tasks","Hard Morytania","N/A","N/A","15"
"Shades of Mort'ton","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Shadow Boxing","Kill a shadow warrior in the Legends' Guild basement.","Area Tasks","Hard Ardougne","N/A","N/A","15"
"Shadow Fall","Solve this mystery.","Skills","Archaeology","Zarosian","N/A","20"
"Shadow Hanging Over Me","Claim all treasure from the chests during 'A Shadow over Ashdale', or talk to Gudrik to claim them afterwards.","Lore","Post-Quest","N/A","N/A","5"
"Shadow of the Storm","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Shadow Reef","Complete all of the listed achievements.","Combat","Shadow Reef","N/A","N/A","50"
"Shadow Run","Defeat Nex solo, without being hit by her 'Shadow Smash' attack during her Shadow phase.","Combat","Nex","N/A","3","15"
"Shadow Tank","Defeat Nex solo, without moving during her Shadow phase until Nex has hit 120,000 lifepoints.","Combat","Nex","N/A","4","25"
"Shadow Wave","Wave goodbye to a black hand.","Combat","Dragonkin Laboratory","Black Stone Dragon","N/A","5"
"Shadows Below","Survive the shadow beneath the barrows.","Combat","Barrows: Rise of the Six","N/A","N/A","50"
"Shards of the Earth","Own the Magic Golem outfit.","Skills","Mining","N/A","N/A","10"
"Sharks are Good for the Elf","Bank a shark fished from the elven lands using the Elf Camp deposit box.","Area Tasks","Medium Tirannwn","N/A","N/A","10"
"Sharrigan: Dragonkin I","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Sharrigan: Dragonkin II","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Sharrigan: Dragonkin III","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Sharrigan: Dragonkin IV","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Sharrigan: Dragonkin V","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Sharrigan: Dragonkin VI","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Sharrigan: Dragonkin VII","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Shattering Worlds I","Complete world 10 in Shattered Worlds.","Activities","Minigames","N/A","N/A","5"
"Shattering Worlds II","Complete world 25 in Shattered Worlds.","Activities","Minigames","N/A","N/A","5"
"Shattering Worlds III","Complete world 50 in Shattered Worlds.","Activities","Minigames","N/A","N/A","5"
"Shattering Worlds IV","Complete world 100 in Shattered Worlds.","Activities","Minigames","N/A","N/A","5"
"Shattering Worlds V","Complete world 150 in Shattered Worlds.","Activities","Minigames","N/A","N/A","5"
"Shattering Worlds VI","Complete world 200 in Shattered Worlds.","Activities","Minigames","N/A","N/A","5"
"Shatterproof","Defeat Kerapac, the bound without letting him send a rift of time from his 'Shatter' attack.","Combat","Kerapac","N/A","3","15"
"She Smells Sea Smells by the Sea Floor","Show Shrine Maiden Elei some sushi.","Combat","Shadow Reef","N/A","N/A","5"
"Sheep Herder","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Sheep Shearer (miniquest)","Complete this miniquest.","Lore","Miniquests","N/A","N/A","5"
"Sheepsworn","Successfully breed a sheep with the Ravensworn trait.","Feats","Player Owned Farm","N/A","N/A","0"
"Shell-Shocked","Speak to Edvard in the Abyss after 'Tortle Combat'.","Lore","Post-Quest","N/A","N/A","5"
"Sherpa's Delight","Catch a trout in the river to the east of Barbarian Village.","Area Tasks","Easy Varrock","N/A","N/A","5"
"Shield of Arrav","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Shilo Village","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Shine On You Crazy Diamond","Mine a diamond from a gem rock in Prifddinas while the Voice of Seren shines on the Trahaearn district.","Skills","Mining","N/A","N/A","10"
"Shipping Out From the Shipyard","Charter a ship from the shipyard in the far east of Karamja.","Area Tasks","Medium Karamja","N/A","N/A","10"
"Should've Wandered Somewhere Else I","Defeat Kezalam, the Wanderer in hard mode. (X/5)","Combat","Sanctum of Rebirth","Kezalam","N/A","5"
"Should've Wandered Somewhere Else II","Defeat Kezalam, the Wanderer in hard mode. (X/10)","Combat","Sanctum of Rebirth","Kezalam","4","25"
"Should've Wandered Somewhere Else III","Defeat Kezalam, the Wanderer in hard mode. (X/25)","Combat","Sanctum of Rebirth","Kezalam","N/A","5"
"Should've Wandered Somewhere Else IV","Defeat Kezalam, the Wanderer in hard mode. (X/50)","Combat","Sanctum of Rebirth","Kezalam","N/A","5"
"Should've Wandered Somewhere Else V","Defeat Kezalam, the Wanderer in hard mode. (X/75)","Combat","Sanctum of Rebirth","Kezalam","N/A","5"
"Should've Wandered Somewhere Else VI","Defeat Kezalam, the Wanderer in hard mode. (X/100)","Combat","Sanctum of Rebirth","Kezalam","N/A","5"
"Show That You Cairn","Explore Cairn Island to the west of Karamja.","Area Tasks","Easy Karamja","N/A","N/A","5"
"Shrimpin' Ain't Easy","Catch some shrimp in the fishing spot to the east of Lumbridge Swamp.","Area Tasks","Beginner Lumbridge","N/A","N/A","5"
"Shrimpy","Unlock the Shrimpy pet from Har-Aken in the Fight Kiln.","Combat","Boss Pets","N/A","N/A","0"
"Sick and Twisted","Kill a warped terrorbird or tortoise in the Warped Poison Waste Dungeon.","Area Tasks","Easy Tirannwn","N/A","N/A","5"
"Silent Assassin","Sabotage a Nodon siege engine.","Exploration","Senntisten","N/A","N/A","5"
"Silky Smooth","Sell silk to the silk trader in Ardougne for 60gp each by haggling.","Area Tasks","Easy Ardougne","N/A","N/A","5"
"Simply Divine","Create a divine location.","Skills","Divination","N/A","N/A","5"
"Sinclair Swirling","Use the churn in the Sinclair Mansion garden.","Area Tasks","Easy Seers' Village","N/A","N/A","5"
"Sing for the Lady","Help Lady Ithell with crystal singing research.","Exploration","Prifddinas","N/A","N/A","10"
"Sing-Along-a-Seren Verse 1","During the Amlodd Voice of Seren : create a Titan's Constitution summoning scroll.","Area Tasks","Hard Tirannwn","N/A","N/A","15"
"Sing-Along-a-Seren Verse 2","During the Cadarn Voice of Seren : use a crystal bow to damage a Cadarn elf.","Area Tasks","Hard Tirannwn","N/A","N/A","15"
"Sing-Along-a-Seren Verse 3","During the Crwys Voice of Seren : cut a magic log in the Crwys district.","Area Tasks","Hard Tirannwn","N/A","N/A","15"
"Sing-Along-a-Seren Verse 4","During the Hefin Voice of Seren : complete one lap of the Hefin Agility Course successfully.","Area Tasks","Hard Tirannwn","N/A","N/A","15"
"Sing-Along-a-Seren Verse 5","During the Iorwerth Voice of Seren : use a crystal dagger to damage an Iorwerth elf.","Area Tasks","Hard Tirannwn","N/A","N/A","15"
"Sing-Along-a-Seren Verse 6","During the Meilyr Voice of Seren : craft a perfect juju farming potion using moss you harvested yourself.","Area Tasks","Hard Tirannwn","N/A","N/A","15"
"Sing-Along-a-Seren Verse 7","During the Trahaearn Voice of Seren : mine an adamantite or runite rock.","Area Tasks","Hard Tirannwn","N/A","N/A","15"
"Single Sigil Solutions","Defeat Solak, Guardian of the Grove after using only one sigil to defeat Erethdor while Solak has at least 30% life points remaining.","Combat","Solak","N/A","5","40"
"Sinister Crystal","Defeat Taraket the Necromancer while the corpse carrier is still alive.","Combat","Shadow Reef","Taraket","3","15"
"Sinking Fast","Regular accounts, Ironman accounts, Hardcore Ironman accounts, and Regular Group Ironman accounts: | Complete a sinkhole. | Competitive Group Ironman: | Locate a sinkhole.","Area Tasks","Easy Daemonheim","N/A","N/A","5"
"Sins of the Father","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Sir Atcha: Saradominist I","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Sir Atcha: Saradominist II","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Sir Atcha: Saradominist III","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Sir Atcha: Saradominist IV","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Sir Mitt","Climb to the top of the White Knights' Castle.","Area Tasks","Easy Falador","N/A","N/A","5"
"Skeletal Wishes","Help the Odd Old Man complete his creepy tasks.","Lore","Miniquests","N/A","N/A","15"
"Skeletrail Horror","Claim an elite clue scroll by defeating the skeletal horror.","Activities","Treasure Trails","N/A","N/A","5"
"Skelly By Everlight","Complete this miniquest.","Lore","Miniquests","N/A","N/A","10"
"Skinful","Use Humidify to fill a waterskin while standing in the desert.","Area Tasks","Hard Desert","N/A","N/A","15"
"Slash Fund","Get water from a cactus in the desert.","Area Tasks","Easy Desert","N/A","N/A","5"
"Slay Bells Ring I","Slay a combination of 500 corrupted or devourer creatures. (X/500)","Exploration","Menaphos","N/A","N/A","25"
"Slay Bells Ring II","Slay a combination of 1,000 corrupted or devourer creatures. (X/1,000)","Exploration","Menaphos","N/A","N/A","25"
"Slay Bells Ring III","Slay a combination of 2,500 corrupted or devourer creatures. (X/2,500)","Exploration","Menaphos","N/A","N/A","25"
"Slay Bells Ring IV","Slay a combination of 5,000 corrupted or devourer creatures. (X/5,000)","Exploration","Menaphos","N/A","N/A","25"
"Slay Bells Ring V","Slay a combination of 10,000 corrupted or devourer creatures. (X/10,000)","Exploration","Menaphos","N/A","N/A","25"
"Slay-ryu I","Defeat Seiryu the Azure Serpent. (X/5)","Combat","Temple of Aminishi","Seiryu","N/A","5"
"Slay-ryu II","Defeat Seiryu the Azure Serpent. (X/10)","Combat","Temple of Aminishi","Seiryu","3","15"
"Slay-ryu III","Defeat Seiryu the Azure Serpent. (X/25)","Combat","Temple of Aminishi","Seiryu","N/A","5"
"Slay-ryu IV","Defeat Seiryu the Azure Serpent. (X/50)","Combat","Temple of Aminishi","Seiryu","N/A","5"
"Slay-ryu V","Defeat Seiryu the Azure Serpent. (X/75)","Combat","Temple of Aminishi","Seiryu","N/A","5"
"Slay-ryu VI","Defeat Seiryu the Azure Serpent. (X/100)","Combat","Temple of Aminishi","Seiryu","N/A","5"
"Slay-ryu Solo Kills I","Defeat Seiryu the Azure Serpent solo. (X/5)","Combat","Temple of Aminishi","Seiryu","N/A","5"
"Slay-ryu Solo Kills II","Defeat Seiryu the Azure Serpent solo. (X/10)","Combat","Temple of Aminishi","Seiryu","N/A","5"
"Slay-ryu Solo Kills III","Defeat Seiryu the Azure Serpent solo. (X/25)","Combat","Temple of Aminishi","Seiryu","N/A","5"
"Slay-ryu Solo Kills IV","Defeat Seiryu the Azure Serpent solo. (X/50)","Combat","Temple of Aminishi","Seiryu","N/A","5"
"Slay-ryu Solo Kills V","Defeat Seiryu the Azure Serpent solo. (X/75)","Combat","Temple of Aminishi","Seiryu","N/A","5"
"Slay-ryu Solo Kills VI","Defeat Seiryu the Azure Serpent solo. (X/100)","Combat","Temple of Aminishi","Seiryu","N/A","5"
"Slayer - Crabbe","Unlock the Slayer pet.","Skills","Skilling Pets","N/A","N/A","0"
"Slayer 5","Reach level 5 in the Slayer skill.","Skills","Slayer","N/A","N/A","5"
"Slayer 10","Reach level 10 in the Slayer skill.","Skills","Slayer","N/A","N/A","5"
"Slayer 20","Reach level 20 in the Slayer skill.","Skills","Slayer","N/A","N/A","5"
"Slayer 30","Reach level 30 in the Slayer skill.","Skills","Slayer","N/A","N/A","5"
"Slayer 40","Reach level 40 in the Slayer skill.","Skills","Slayer","N/A","N/A","5"
"Slayer 50","Reach level 50 in the Slayer skill.","Skills","Slayer","N/A","N/A","5"
"Slayer 60","Reach level 60 in the Slayer skill.","Skills","Slayer","N/A","N/A","5"
"Slayer 70","Reach level 70 in the Slayer skill.","Skills","Slayer","N/A","N/A","5"
"Slayer 80","Reach level 80 in the Slayer skill.","Skills","Slayer","N/A","N/A","5"
"Slayer 90","Reach level 90 in the Slayer skill.","Skills","Slayer","N/A","N/A","5"
"Slayer 92 (Halfway There)","Reach level 92 in the Slayer skill.","Skills","Slayer","N/A","N/A","5"
"Slayer 99","Reach level 99 in the Slayer skill.","Skills","Slayer","N/A","N/A","5"
"Slayer 110","Reach level 110 in the Slayer skill.","Skills","Slayer","N/A","N/A","5"
"Slayer 113 (Halfway there)","Reach level 113 in the Slayer skill.","Skills","Slayer","N/A","N/A","5"
"Slayer 120","Reach level 120 in the Slayer skill.","Skills","Slayer","N/A","N/A","5"
"Slayer Master","Earn the title 'Slayer Master' from Morvran's platinum Rush of Blood challenge.","Skills","Slayer","N/A","N/A","45"
"Slayer of Chaos","Obtained a collection of unique drops from Slayer monsters located within Keldagrim.","Feats","Slayer Logs","N/A","N/A","0"
"Slide To The Left","Solve a puzzle box.","Activities","Treasure Trails","N/A","N/A","5"
"Slide to the Right","Defeat the Crassian Leviathan without anyone being hit by its 'Poisonous Breath' attack.","Combat","Shadow Reef","Crassian Leviathan","2","10"
"Slippery When Wet","Craft a water rune at the Water Altar.","Area Tasks","Easy Lumbridge","N/A","N/A","5"
"Sliske's Endgame","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Sliske's Per-faction-ist","Reach maximum reputation with the Sliske faction in the Heart of Gielinor. (X/5,000)","Combat","Heart of Gielinor","N/A","N/A","20"
"Sliske's New Game Plus","Replay 'Sliske's Endgame' once to receive the 'Agent of the Eldest' cosmetic outfit override.","Lore","Post-Quest","N/A","N/A","25"
"Slivers of Camouflage","Own the Master Camouflage outfit.","Skills","Thieving","N/A","N/A","10"
"Smartest Harvest","Harvest 60 things from fruit tree patches in 4 minutes.","Skills","Farming","N/A","N/A","30"
"Smashing Success","Defeat Vorago in hard mode by personally using the Maul of Omens on him on any rotation.","Combat","Vorago","N/A","4","25"
"Smithing - Smithy","Unlock the Smithing pet.","Skills","Skilling Pets","N/A","N/A","0"
"Smithing 5","Reach level 5 in the Smithing skill.","Skills","Smithing","N/A","N/A","5"
"Smithing 10","Reach level 10 in the Smithing skill.","Skills","Smithing","N/A","N/A","5"
"Smithing 20","Reach level 20 in the Smithing skill.","Skills","Smithing","N/A","N/A","5"
"Smithing 30","Reach level 30 in the Smithing skill.","Skills","Smithing","N/A","N/A","5"
"Smithing 40","Reach level 40 in the Smithing skill.","Skills","Smithing","N/A","N/A","5"
"Smithing 50","Reach level 50 in the Smithing skill.","Skills","Smithing","N/A","N/A","5"
"Smithing 60","Reach level 60 in the Smithing skill.","Skills","Smithing","N/A","N/A","5"
"Smithing 70","Reach level 70 in the Smithing skill.","Skills","Smithing","N/A","N/A","5"
"Smithing 80","Reach level 80 in the Smithing skill.","Skills","Smithing","N/A","N/A","5"
"Smithing 90","Reach level 90 in the Smithing skill.","Skills","Smithing","N/A","N/A","5"
"Smithing 92 (Halfway There)","Reach level 92 in the Smithing skill.","Skills","Smithing","N/A","N/A","5"
"Smithing 99","Reach level 99 in the Smithing skill.","Skills","Smithing","N/A","N/A","5"
"Smithing 110","Reach level 110 in the Smithing skill.","Skills","Smithing","N/A","N/A","5"
"Smithing 120","Reach virtual level 120 in the Smithing skill.","Skills","Smithing","N/A","N/A","0"
"Smoking area","Defeat Nex, Angel of Death in a team of 7 or fewer after having everyone tank all damage from her 'Smoke Blades' attack.","Combat","Nex, Angel of Death","N/A","5","40"
"Smoking Kills","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Smooth Bakriminel","Create some bakriminel bolts from scratch in the Wilderness.","Area Tasks","Elite Wilderness","N/A","N/A","25"
"Smoulders and Skully","Kill Smoulders while wearing the Demonic Skull.","Combat","Dragonkin Laboratory","N/A","N/A","10"
"Sniffing Out the Mole","Enter the mole lair under Falador Park.","Area Tasks","Easy Falador","N/A","N/A","5"
"Sniper No Sniping","Defeat Vindicta & Gorvek solo after using the correct protection prayer against their ranged attacks.","Combat","Heart of Gielinor","Vindicta & Gorvek","3","15"
"Sniper Training","Kill one guard on each tower of the Ranging Guild using a regular shieldbow.","Area Tasks","Medium Seers' Village","N/A","N/A","10"
"Snippets of Memory","Own the Elder Divination outfit.","Skills","Divination","N/A","N/A","10"
"Snow Problem","Defeat the Arch-Glacor with all mechanics enabled.","Combat","Arch-Glacor","N/A","3","15"
"Snowfall I","Defeat the Arch-Glacor in hard mode. (X/5)","Combat","Arch-Glacor","N/A","N/A","5"
"Snowfall II","Defeat the Arch-Glacor in hard mode. (X/10)","Combat","Arch-Glacor","N/A","N/A","5"
"Snowfall III","Defeat the Arch-Glacor in hard mode. (X/25)","Combat","Arch-Glacor","N/A","3","15"
"Snowfall IV","Defeat the Arch-Glacor in hard mode. (X/50)","Combat","Arch-Glacor","N/A","N/A","5"
"Snowfall V","Defeat the Arch-Glacor in hard mode. (X/75)","Combat","Arch-Glacor","N/A","N/A","5"
"Snowfall VI","Defeat the Arch-Glacor in hard mode. (X/100)","Combat","Arch-Glacor","N/A","N/A","5"
"So icy","Defeat Nex, Angel of Death in a team of 7 or fewer without anyone being freed from her 'Icicle Slam' attack.","Combat","Nex, Angel of Death","N/A","5","40"
"So Su Me","Solve an easy runedoku casket.","Area Tasks","Medium Desert","N/A","N/A","10"
"So-lacking any Lashers","Defeat Solak, Guardian of the Grove without letting any Volatile rootling transform into a Blightbound lasher.","Combat","Solak","N/A","4","25"
"So-lacking in Drops","Obtained a collection of unique drops from Solak, Guardian of the Grove.","Feats","Boss Logs","N/A","N/A","0"
"Soft Dragon, Warm Dragon","Read two bedtime stories to Vorkath.","Lore","Books","N/A","N/A","5"
"Soils of the Past","Own the Master Archaeologist's outfit.","Skills","Archaeology","N/A","N/A","10"
"Solak Elite Speed Killer","Defeat Solak, Guardian of the Grove in less than 06:00.","Combat","Solak","N/A","4","25"
"Solak Grandmaster Speed Killer","Defeat Solak, Guardian of the Grove in less than 02:36.","Combat","Solak","N/A","6","50"
"Solak Master Speed Killer","Defeat Solak, Guardian of the Grove in less than 03:45.","Combat","Solak","N/A","5","40"
"Solak, Guardian of the Grove","Defeat Solak, Guardian of the Grove. (X/1)","Combat","Solak","N/A","N/A","0"
"Solak, Guardian of the Grove (perfect)","Defeat Solak, Guardian of the Grove while completing the listed achievements.","Combat","Solak","N/A","6","50"
"Solak, Guardian of the Grove (unorthodox)","Defeat Solak, Guardian of the Grove while completing the listed achievements.","Combat","Solak","N/A","6","50"
"Sole to Soul","Feed the ghost cat their favourite fish.","Exploration","City of Um","N/A","N/A","5"
"Solly","Unlock the Solly pet from Solak, Guardian of the Grove.","Combat","Boss Pets","N/A","N/A","0"
"Some Fungi are Only Edible Once","Obtained a collection of unique drops from Croesus.","Feats","Boss Logs","N/A","N/A","0"
"Some Like It Cold","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Some Old Dusty Journals","Find the Ancient, Dusty and Weathered Tarddian journals.","Lore","Books","N/A","N/A","20"
"Something 'bout that Sq'irk, Sq'irk, Sq'irk, Sq'irk, Sq'irk","Hand in each of the four Sq'irkjuices from the Sorceress's Garden minigame in one go.","Activities","Minigames","N/A","N/A","20"
"Something Barrowed I","Defeat the six Barrows Brothers and loot their chest. (X/5)","Combat","Barrows Brothers","N/A","N/A","5"
"Something Barrowed II","Defeat the six Barrows Brothers and loot their chest. (X/10)","Combat","Barrows Brothers","N/A","N/A","5"
"Something Barrowed III","Defeat the six Barrows Brothers and loot their chest. (X/25)","Combat","Barrows Brothers","N/A","1","5"
"Something Barrowed IV","Defeat the six Barrows Brothers and loot their chest. (X/50)","Combat","Barrows Brothers","N/A","N/A","5"
"Something Barrowed V","Defeat the six Barrows Brothers and loot their chest. (X/75)","Combat","Barrows Brothers","N/A","N/A","5"
"Something Barrowed VI","Defeat the six Barrows Brothers and loot their chest. (X/100)","Combat","Barrows Brothers","N/A","N/A","5"
"Something In The Air","Defeat Vorago after receiving a total of 5000 damage from his 'Gas Cloud' attack.","Combat","Vorago","N/A","4","25"
"Song from the Depths","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Sonic Crystal","Catch a grenwall in a crystallised trap.","Skills","Hunter","N/A","N/A","10"
"Soran: Zarosian I","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Soran: Zarosian II","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Soran: Zarosian III","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Soran: Zarosian IV","Contribute all items to the collection.","Skills","Archaeology","Collections","N/A","10"
"Sort of Crystally","Obtain the 'Dark Lord' title by unlocking a selection of titles from Prifddinas.","Exploration","Prifddinas","N/A","N/A","25"
"Soul Problem","Defeat Vermyx, Brood Mother without being hit by her 'Soul Bomb' attack.","Combat","Sanctum of Rebirth","Vermyx","3","15"
"Soul Searching","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Soulely a distraction","Defeat Vermyx, Brood Mother after redirecting all souls.","Combat","Sanctum of Rebirth","Vermyx","3","15"
"Source of Denial","Pick fruit from a sq'irk tree in the Sorceress' Garden without stopping.","Activities","Minigames","N/A","N/A","10"
"South AND West Side Story","Infiltrate both the Black Arm Gang AND the Phoenix Gang in New Varrock.","Exploration","New Varrock","N/A","N/A","15"
"Special Slayer Delivery","Unlock the ability to craft the listed Slayer items.","Skills","Slayer","N/A","N/A","30"
"Spiderlogical Warfare","Defeat Spyndra with one of Araxxi's legs, eyes, fang or web in your inventory.","Combat","Dragonkin Laboratory","N/A","N/A","10"
"Spidersworn","Successfully breed a spider with the Ravensworn trait.","Feats","Player Owned Farm","N/A","N/A","0"
"Spin Cycle","Defeat Barrows: Rise of the Six without anyone being hit by a 'Hurricane' attack.","Combat","Barrows: Rise of the Six","N/A","3","15"
"Spinal Surgery","Surge under the spine on Anachronia.","Exploration","Anachronia","N/A","N/A","5"
"Spinal Trap","Set a spinebeam trap that you made yourself.","Area Tasks","Medium Daemonheim","N/A","N/A","10"
"Spirit of Summer","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Spirit War I","Defeat Hermod, the Spirit of War. (X/5)","Combat","Hermod","N/A","N/A","5"
"Spirit War II","Defeat Hermod, the Spirit of War. (X/10)","Combat","Hermod","N/A","2","10"
"Spirit War III","Defeat Hermod, the Spirit of War. (X/25)","Combat","Hermod","N/A","N/A","5"
"Spirit War IV","Defeat Hermod, the Spirit of War. (X/50)","Combat","Hermod","N/A","N/A","5"
"Spirit War V","Defeat Hermod, the Spirit of War. (X/75)","Combat","Hermod","N/A","N/A","5"
"Spirit War VI","Defeat Hermod, the Spirit of War. (X/100)","Combat","Hermod","N/A","N/A","5"
"Spirits of the Elid","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Spiritual Comfort","Upgrade the chapel in Fort Forinthry to Tier 3.","Exploration","Fort Forinthry","N/A","N/A","5"
"Spiritual Enlightenment (miniquest)","Complete this miniquest.","Lore","Miniquests","The Arc (Miniquests)","N/A","10"
"Splinters of Power","Own the Infinity Ethereal outfit.","Skills","Runecrafting","N/A","N/A","10"
"Splittin' Souls and Smashin' Skulls I","Defeat Nakatra, Devourer Eternal in hard mode. (X/5)","Combat","Sanctum of Rebirth","Nakatra","N/A","5"
"Splittin' Souls and Smashin' Skulls II","Defeat Nakatra, Devourer Eternal in hard mode. (X/10)","Combat","Sanctum of Rebirth","Nakatra","4","25"
"Splittin' Souls and Smashin' Skulls III","Defeat Nakatra, Devourer Eternal in hard mode. (X/25)","Combat","Sanctum of Rebirth","Nakatra","N/A","5"
"Splittin' Souls and Smashin' Skulls IV","Defeat Nakatra, Devourer Eternal in hard mode. (X/50)","Combat","Sanctum of Rebirth","Nakatra","N/A","5"
"Splittin' Souls and Smashin' Skulls V","Defeat Nakatra, Devourer Eternal in hard mode. (X/75)","Combat","Sanctum of Rebirth","Nakatra","N/A","5"
"Splittin' Souls and Smashin' Skulls VI","Defeat Nakatra, Devourer Eternal in hard mode. (X/100)","Combat","Sanctum of Rebirth","Nakatra","N/A","5"
"Splitting Headache","Defeat a skeleton at Senntisten altar (or pray at Senntisten altar) with Soul Split enabled.","Area Tasks","Elite Varrock","N/A","N/A","25"
"Spooky Scary Skeletons","Defeat Taraket the Necromancer without anyone defeating any of the 'Rifts of Undeath'.","Combat","Shadow Reef","Taraket","3","15"
"Spread the Blight","Defeat Solak, Guardian of the Grove without anyone being hit by a Blight bomb.","Combat","Solak","N/A","4","25"
"Spud That","Use a potato on the ancient Zygomite elder.","Exploration","Anachronia","N/A","N/A","5"
"Squeal for Coins","Claim the coins from Yelps' cash bag after fighting him.","Lore","Post-Quest","N/A","N/A","15"
"Squishing Level I","Squish a corrupted scarab.","Exploration","Menaphos","N/A","N/A","5"
"Squishing Level II","Squish 10 corrupted scarabs. (X/10)","Exploration","Menaphos","N/A","N/A","10"
"Squishing Level III","Squish 50 corrupted scarabs. (X/50)","Exploration","Menaphos","N/A","N/A","15"
"Squishing Level IV","Squish 100 corrupted scarabs. (X/100)","Exploration","Menaphos","N/A","N/A","20"
"Squishing Level V","Squish 200 corrupted scarabs. (X/200)","Exploration","Menaphos","N/A","N/A","25"
"Stacked","Start a floor with 225 of any type of ammo bound to you.","Area Tasks","Hard Daemonheim","N/A","N/A","15"
"Stacks on Stacks","Complete the ritual to activate a totem on Anachronia.","Exploration","Anachronia","N/A","N/A","5"
